movieId,title,genres,director,cast
0,2.0,"Action, Science Fiction, Fantasy",Shankar,"Rajinikanth, Akshay Kumar, Amy Jackson"
1,Sarkar,"Action, Drama",A.R. Murugadoss,"Vijay, Keerthy Suresh, Varalaxmi Sarathkumar"
2,Ratsasan,"Action, Adventure, Thriller, Crime",Ram Kumar,"Vishnu Vishal, Amala Paul, Suzane George"
3,96,Romance,C. Prem Kumar,"Vijay Sethupathi, Trisha Krishnan, Aditya Baskar"
4,Vada Chennai,"Action, Crime, Drama",Vetrimaaran,"Dhanush, Andrea Jeremiah, Samuthirakani"
5,Imaikkaa Nodigal,"Action, Thriller, Drama, Crime",R. Ajay Gnanamuthu,"Nayanthara, Anurag Kashyap, Atharvaa Murali"
6,Pariyerum Perumal,"Romance, Drama",Mari Selvaraj,"Kathir, Anandhi, Yogi Babu"
7,Kaala,"Action, Crime, Drama",Pa. Ranjith,"Rajinikanth, Nana Patekar, Samuthirakani"
8,Thaanaa Serndha Koottam,"Action, Comedy, Crime",Vignesh Shivan,"Suriya, Keerthy Suresh, Ramya Krishnan"
9,Adanga Maru,"Action, Thriller, Crime",Karthik Thangavel,"Jayam Ravi, Raashii Khanna, Sampath Raj"
10,Irumbu Thirai,"Thriller, Action",P. S. Mithran,"Arjun Sarja, Vishal Krishna, Samantha Ruth Prabhu"
11,Maari 2,"Action, Comedy",Balaji Mohan,"Dhanush, Sai Pallavi, Krishna Kulasekaran"
12,Kadaikutty Singam,"Romance, Comedy, Family, Action",Pandiraj,"Karthi, Sayesha Saigal, Sathyaraj"
13,U Turn,"Thriller, Horror, Crime",Pawan Kumar,"Samantha Ruth Prabhu, Aadhi Pinisetty, Rahul Ravindran"
14,Kolamavu Kokila,"Comedy, Thriller",Nelson Dilipkumar,"Nayanthara, Yogi Babu, Saranya Ponvannan"
15,Nota,Drama,Anand Shankar,"Vijay Deverakonda, Mehreen Pirzada, Sathyaraj"
16,Sei,"Drama, Romance, Thriller",Raj Babu,"Nakul, Aanchal Munjal, Prakash Raj"
17,Lakshmi,"Family, Drama, Comedy",A. L. Vijay,"Prabhu Deva, Ditya Bhande, Aishwarya Rajesh"
